route_color,route_id,route_stop_id,stop_name,vehicle_number,arrival_time,departure_time,actual_dwell_seconds
Gold,29,408,Ferst Dr & Hemphill Ave,2307,2026-09-21T16:09:08-04:00,2026-09-21T16:10:45-04:00,97.7
Red,20,274,Center St. Apartments & Hemphill Ave,2215,2026-09-21T16:09:48-04:00,2026-09-21T16:10:51-04:00,63.2
Clough,28,386,Technology Square WB,2309,2026-09-21T16:09:59-04:00,2026-09-21T16:11:26-04:00,86.1
Gold,29,420,Student Center,2308,2026-09-21T16:10:06-04:00,2026-09-21T16:11:32-04:00,86.2
Green,17,208,Center St. Apartments & Hemphill Ave,2216,2026-09-21T15:55:37-04:00,2026-09-21T16:11:51-04:00,973.8
Red,20,272,Paper Tricentennial,2215,2026-09-21T16:11:08-04:00,2026-09-21T16:12:04-04:00,55.6
Blue,21,282,West Village,2206,2026-09-21T16:06:57-04:00,2026-09-21T16:12:15-04:00,317.7
Red,20,276,Cherry Emerson,2210,2026-09-21T16:10:40-04:00,2026-09-21T16:12:21-04:00,101.4
Clough,28,387,5th Street Bridge WB,2309,2026-09-21T16:11:32-04:00,2026-09-21T16:12:34-04:00,61.8
Blue,21,299,Fitten Hall,2204,2026-09-21T16:11:03-04:00,2026-09-21T16:12:40-04:00,96.9
Clough,28,390,College of Business,2301,2026-09-21T16:11:08-04:00,2026-09-21T16:12:51-04:00,102.7
Northside Dr. - Atlantic Station,26,359,Center St. Apartments & Hemphill Ave,2209,2026-09-21T16:12:04-04:00,2026-09-21T16:12:59-04:00,54.9
Clough,28,393,Publix at the Plaza,2302,2026-09-21T16:10:45-04:00,2026-09-21T16:12:59-04:00,133.3
Clough,28,395,Fowler Street SB,2309,2026-09-21T16:12:40-04:00,2026-09-21T16:12:59-04:00,19.1
Gold,29,417,CRC & Stamps Health,2306,2026-09-21T16:08:55-04:00,2026-09-21T16:12:59-04:00,243.3
Gold,29,407,Exhibition Hall,2308,2026-09-21T16:12:21-04:00,2026-09-21T16:13:11-04:00,50.0
Green,17,196,Kendeda Building,2201,2026-09-21T16:06:49-04:00,2026-09-21T16:13:17-04:00,388.7
Red,20,250,North Avenue Apts - To West Campus,2207,2026-09-21T16:06:20-04:00,2026-09-21T16:13:17-04:00,417.5
Red,20,277,Klaus Building EB,2210,2026-09-21T16:12:34-04:00,2026-09-21T16:13:30-04:00,56.5
Blue,21,283,8th St & Hemphill Ave,2206,2026-09-21T16:12:28-04:00,2026-09-21T16:13:30-04:00,62.4
Northside Dr. - Atlantic Station,26,487,Georgia Tech Police Department,2209,2026-09-21T16:12:59-04:00,2026-09-21T16:13:49-04:00,50.3
Clough,28,391,Academy of Medicine,2301,2026-09-21T16:13:05-04:00,2026-09-21T16:13:49-04:00,44.0
Gold,29,409,Cherry Emerson,2307,2026-09-21T16:11:26-04:00,2026-09-21T16:13:54-04:00,148.9
Gold,29,421,Ferst Drive & Student Center,2306,2026-09-21T16:13:54-04:00,2026-09-21T16:14:30-04:00,35.5
Green,17,418,Georgia Tech Police Department,2216,2026-09-21T15:56:00-04:00,2026-09-21T16:15:01-04:00,1140.5
Blue,21,282,West Village,2204,2026-09-21T16:13:49-04:00,2026-09-21T16:15:16-04:00,87.2
Blue,21,284,Couch Park,2206,2026-09-21T16:13:42-04:00,2026-09-21T16:15:16-04:00,94.3
Gold,29,410,Klaus Building EB,2307,2026-09-21T16:14:00-04:00,2026-09-21T16:15:22-04:00,81.5
Red,20,278,Techwood Dr & 5th St - South,2210,2026-09-21T16:14:12-04:00,2026-09-21T16:15:33-04:00,81.1
Gold,29,408,Ferst Dr & Hemphill Ave,2308,2026-09-21T16:14:41-04:00,2026-09-21T16:15:45-04:00,63.5
Red,20,264,Brown Residence Hall,2207,2026-09-21T16:15:33-04:00,2026-09-21T16:15:50-04:00,17.4
Blue,21,283,8th St & Hemphill Ave,2204,2026-09-21T16:15:22-04:00,2026-09-21T16:16:09-04:00,47.1
Emory,18,223,Piedmont Road WB,2304,2026-09-21T16:16:14-04:00,2026-09-21T16:16:34-04:00,19.4
Gold,29,399,5th Street Bridge EB,2307,2026-09-21T16:15:33-04:00,2026-09-21T16:16:34-04:00,60.6
Red,20,265,Techwood Dr & Field Residence Hall,2207,2026-09-21T16:16:02-04:00,2026-09-21T16:16:39-04:00,36.9
Gold,29,409,Cherry Emerson,2308,2026-09-21T16:16:22-04:00,2026-09-21T16:17:17-04:00,55.0
Red,20,279,Techwood Dr & Bobby Dodd Way,2210,2026-09-21T16:16:22-04:00,2026-09-21T16:17:22-04:00,60.7
Blue,21,302,COP & North Ave.,2214,2026-09-21T16:16:22-04:00,2026-09-21T16:17:22-04:00,60.7
Clough,28,386,Technology Square WB,2302,2026-09-21T16:16:22-04:00,2026-09-21T16:17:35-04:00,73.4
Blue,21,284,Couch Park,2204,2026-09-21T16:16:22-04:00,2026-09-21T16:17:55-04:00,93.2
Gold,29,400,Technology Square EB,2307,2026-09-21T16:17:10-04:00,2026-09-21T16:17:55-04:00,44.3
Red,20,273,West Village,2215,2026-09-21T16:13:11-04:00,2026-09-21T16:18:01-04:00,290.5
Blue,21,285,CRC & Stamps Health,2206,2026-09-21T16:15:50-04:00,2026-09-21T16:18:01-04:00,130.9
Northside Dr. - Atlantic Station,26,362,MARTA Stop 10th St. @ Northside Dr.,2209,2026-09-21T16:14:48-04:00,2026-09-21T16:18:01-04:00,192.9
Clough,28,392,Clough Commons,2309,2026-09-21T16:13:49-04:00,2026-09-21T16:18:08-04:00,258.8
Gold,29,410,Klaus Building EB,2308,2026-09-21T16:17:22-04:00,2026-09-21T16:18:14-04:00,51.2
Green,17,208,Center St. Apartments & Hemphill Ave,2201,2026-09-21T16:13:42-04:00,2026-09-21T16:18:38-04:00,296.3
Red,20,266,Techwood & 5th  - North,2207,2026-09-21T16:17:22-04:00,2026-09-21T16:18:38-04:00,75.9
Green,17,418,Georgia Tech Police Department,2201,2026-09-21T16:18:38-04:00,2026-09-21T16:19:03-04:00,25.2
Clough,28,394,Fowler Street NB,2309,2026-09-21T16:18:45-04:00,2026-09-21T16:19:03-04:00,18.5
Clough,28,387,5th Street Bridge WB,2302,2026-09-21T16:17:41-04:00,2026-09-21T16:19:10-04:00,88.8
Blue,21,300,Ferst Drive & Student Center,2206,2026-09-21T16:18:38-04:00,2026-09-21T16:19:26-04:00,48.3
Clough,28,385,MARTA Midtown Station,2301,2026-09-21T16:17:17-04:00,2026-09-21T16:19:26-04:00,129.9
Clough,28,388,5th Street Bridge EB,2309,2026-09-21T16:19:10-04:00,2026-09-21T16:19:39-04:00,28.9
Red,20,267,Russ Chandler Stadium,2207,2026-09-21T16:18:45-04:00,2026-09-21T16:19:44-04:00,59.3
Red,20,271,8th St & Hemphill Ave,2215,2026-09-21T16:18:20-04:00,2026-09-21T16:19:44-04:00,84.7
Red,20,280,COP & North Ave.,2210,2026-09-21T16:19:26-04:00,2026-09-21T16:20:03-04:00,36.3
Clough,28,395,Fowler Street SB,2302,2026-09-21T16:19:21-04:00,2026-09-21T16:20:10-04:00,48.9
Gold,29,399,5th Street Bridge EB,2308,2026-09-21T16:19:26-04:00,2026-09-21T16:20:16-04:00,49.3
Gold,29,419,Weber Loop,2303,2026-09-21T16:08:38-04:00,2026-09-21T16:20:23-04:00,704.7
Red,20,268,Klaus Building WB,2207,2026-09-21T16:19:44-04:00,2026-09-21T16:20:37-04:00,52.5
Green,17,209,GT Competition Center (575 14th Street),2216,2026-09-21T16:18:33-04:00,2026-09-21T16:20:45-04:00,132.3
Blue,21,285,CRC & Stamps Health,2204,2026-09-21T16:19:10-04:00,2026-09-21T16:20:45-04:00,95.2
Blue,21,301,Weber Building Loop,2206,2026-09-21T16:19:44-04:00,2026-09-21T16:20:45-04:00,60.6
Blue,21,289,North Avenue Apts - To East Campus,2214,2026-09-21T16:17:48-04:00,2026-09-21T16:20:51-04:00,182.6
Gold,29,401,College of Business,2307,2026-09-21T16:19:10-04:00,2026-09-21T16:20:51-04:00,101.0
Red,20,275,Ferst Dr & Hemphill Ave,2215,2026-09-21T16:19:50-04:00,2026-09-21T16:21:02-04:00,71.8
Clough,28,393,Publix at the Plaza,2301,2026-09-21T16:19:44-04:00,2026-09-21T16:21:08-04:00,83.6
Green,17,206,Hemphill Ave & Curran St,2201,2026-09-21T16:20:51-04:00,2026-09-21T16:21:25-04:00,34.5
Red,20,269,Nanotechnology,2207,2026-09-21T16:20:51-04:00,2026-09-21T16:21:25-04:00,34.5
Clough,28,389,Technology Square EB,2309,2026-09-21T16:20:23-04:00,2026-09-21T16:21:25-04:00,62.4
Gold,29,400,Technology Square EB,2308,2026-09-21T16:20:29-04:00,2026-09-21T16:21:37-04:00,68.0
Blue,21,300,Ferst Drive & Student Center,2204,2026-09-21T16:21:19-04:00,2026-09-21T16:21:45-04:00,25.2
Gold,29,402,Academy of Medicine,2307,2026-09-21T16:21:02-04:00,2026-09-21T16:21:45-04:00,42.5
Gold,29,420,Student Center,2303,2026-09-21T16:20:45-04:00,2026-09-21T16:21:51-04:00,66.5
Emory,18,224,10th St & MARTA WB,2304,2026-09-21T16:21:25-04:00,2026-09-21T16:22:33-04:00,68.3
Red,20,276,Cherry Emerson,2215,2026-09-21T16:21:45-04:00,2026-09-21T16:22:33-04:00,48.7
Northside Dr. - Atlantic Station,26,361,16th & Village St.,2209,2026-09-21T16:21:02-04:00,2026-09-21T16:22:33-04:00,91.2
Green,17,210,14th St & State St,2216,2026-09-21T16:21:19-04:00,2026-09-21T16:22:45-04:00,85.2
Red,20,270,Kendeda Building,2207,2026-09-21T16:21:25-04:00,2026-09-21T16:22:51-04:00,85.5
Clough,28,392,Clough Commons,2302,2026-09-21T16:21:02-04:00,2026-09-21T16:22:51-04:00,108.4
Gold,29,419,Weber Loop,2306,2026-09-21T16:15:16-04:00,2026-09-21T16:23:07-04:00,471.2
Blue,21,303,Ferst Dr & Cherry St,2214,2026-09-21T16:22:26-04:00,2026-09-21T16:23:24-04:00,57.3
Gold,29,407,Exhibition Hall,2303,2026-09-21T16:22:33-04:00,2026-09-21T16:23:36-04:00,62.7
Red,20,277,Klaus Building EB,2215,2026-09-21T16:22:45-04:00,2026-09-21T16:24:00-04:00,75.0
Green,17,211,GTRI Conference Center,2216,2026-09-21T16:22:45-04:00,2026-09-21T16:24:16-04:00,91.8
Clough,28,394,Fowler Street NB,2302,2026-09-21T16:23:47-04:00,2026-09-21T16:24:16-04:00,29.0
